"year","status","source_id","sample_date","security_code","participant_detail","share_quantity","evidence"
"2007","PARTICIPANT_CONFIRMED","ccass_raw_2007_2012","2007-07-04","00017","YES","YES","bounded raw holdings proof; issue 3 mapped to 00017"
"2008","PARTICIPANT_CONFIRMED","ccass_raw_2007_2012","","00017","YES","YES","bounded raw holdings proof; issue 3 mapped to 00017"
"2009","PARTICIPANT_CONFIRMED","ccass_raw_2007_2012","","00017","YES","YES","bounded raw holdings proof; issue 3 mapped to 00017"
"2010","PARTICIPANT_CONFIRMED","ccass_raw_2007_2012","","00017","YES","YES","bounded raw holdings proof; issue 3 mapped to 00017"
"2011","PARTICIPANT_CONFIRMED","ccass_raw_2007_2012","","00017","YES","YES","bounded raw holdings proof; issue 3 mapped to 00017"
"2012","PARTICIPANT_CONFIRMED","ccass_raw_2007_2012","2012-01-03","00017","YES","YES","bounded raw holdings proof; issue 3 mapped to 00017"
"2013","PARTICIPANT_CONFIRMED","webbsite_full_local","2013-01-28","00017","YES","YES","webbsite_full.sqlite holdings c1=issueID,c2=partID,c3=holding,c4=atDate; local participant row recovered"
"2014","PARTICIPANT_CONFIRMED","webbsite_full_local","2014-01-03","00017","YES","YES","webbsite_full.sqlite holdings c1=issueID,c2=partID,c3=holding,c4=atDate; local participant row recovered"
"2015","PARTICIPANT_CONFIRMED","webbsite_full_local","2015-01-02","00017","YES","YES","webbsite_full.sqlite holdings c1=issueID,c2=partID,c3=holding,c4=atDate; local participant row recovered"
"2016","PARTICIPANT_CONFIRMED","webbsite_full_local","2016-01-06","00017","YES","YES","webbsite_full.sqlite holdings c1=issueID,c2=partID,c3=holding,c4=atDate; local participant row recovered"
"2017","PARTICIPANT_CONFIRMED","webbsite_full_local","2017-03-14","00017","YES","YES","webbsite_full.sqlite holdings c1=issueID,c2=partID,c3=holding,c4=atDate; local participant row recovered"
"2018","PARTICIPANT_CONFIRMED","webbsite_full_local","2018-04-19","00017","YES","YES","webbsite_full.sqlite holdings c1=issueID,c2=partID,c3=holding,c4=atDate; local participant row recovered"
"2019","PARTICIPANT_CONFIRMED","webbsite_full_local","2019-01-02","00017","YES","YES","webbsite_full.sqlite holdings c1=issueID,c2=partID,c3=holding,c4=atDate; local participant row recovered"
"2020","PARTICIPANT_CONFIRMED","webbsite_full_local","2020-07-22","00017","YES","YES","webbsite_full.sqlite holdings c1=issueID,c2=partID,c3=holding,c4=atDate; local participant row recovered"
"2021","PARTICIPANT_CONFIRMED","webbsite_full_local","2021-01-05","00017","YES","YES","webbsite_full.sqlite holdings c1=issueID,c2=partID,c3=holding,c4=atDate; local participant row recovered"
"2022","PARTICIPANT_CONFIRMED","webbsite_full_local","2022-01-04","00017","YES","YES","webbsite_full.sqlite holdings c1=issueID,c2=partID,c3=holding,c4=atDate; local participant row recovered"
"2023","PARTICIPANT_CONFIRMED","webbsite_full_local","2023-01-10","00017","YES","YES","webbsite_full.sqlite holdings c1=issueID,c2=partID,c3=holding,c4=atDate; local participant row recovered"
"2024","PARTICIPANT_CONFIRMED","webbsite_full_local","2024-01-02","00017","YES","YES","webbsite_full.sqlite holdings c1=issueID,c2=partID,c3=holding,c4=atDate; local participant row recovered"
"2025","PARTICIPANT_CONFIRMED","owner_pack_2025_2026","2025-12-01","00017","YES","YES","Research Store ingestion manifest and source rows"
"2026","PARTICIPANT_CONFIRMED","owner_pack_2025_2026","2026-07-31","00017","YES","YES","Research Store ingestion manifest and source rows"
