year,coverage_status,source_id,sample_holdings_date,sample_issue_id,sample_stock_code,participant_detail,evidence
2007,PARTIAL,webbsite_selective_primary,2007-06-26,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2008,PARTIAL,webbsite_selective_primary,2008-01-02,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2009,PARTIAL,webbsite_selective_primary,2009-01-02,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2010,PARTIAL,webbsite_selective_primary,2010-01-04,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2011,PARTIAL,webbsite_selective_primary,2011-01-03,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2012,PARTIAL,webbsite_selective_primary,2012-01-03,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2013,PARTIAL,webbsite_selective_primary,2013-01-02,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2014,PARTIAL,webbsite_selective_primary,2014-01-02,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2015,PARTIAL,webbsite_selective_primary,2015-01-02,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2016,PARTIAL,webbsite_selective_primary,2016-01-04,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2017,PARTIAL,webbsite_selective_primary,2017-01-03,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2018,PARTIAL,webbsite_selective_primary,2018-01-02,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2019,PARTIAL,webbsite_selective_primary,2019-01-02,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2020,PARTIAL,webbsite_selective_primary,2020-01-02,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2021,PARTIAL,webbsite_selective_primary,2021-01-04,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2022,PARTIAL,webbsite_selective_primary,2022-01-03,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2023,PARTIAL,webbsite_selective_primary,2023-01-03,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2024,PARTIAL,webbsite_selective_primary,2024-01-02,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2025,PARTIAL,webbsite_selective_primary,2025-01-02,2516,0388,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
2026,MISSING,,,,,NO,Actual row/sample checked; partial means selective/aggregate or bounded source
