"filename","size_bytes","sha256"
"FULL_REPOSITORY_REGRESSION_V1.txt","24831","26486109E9E50A0ED6C04481842CAADCD3082001FFE4178442759C7FCF784480"
"HISTORICAL_CURRENT_BRIDGE_V2.json","3043","C61A523807BE94B1C467BF047BA55C92790E3F4D545567F6CE90F97967D0F7FE"
"HISTORICAL_RESEARCH_SURFACES_V1.json","655","8AABEB0121BA6F7B3D9FA0E7EC21E5E939CD5A37FE3275AC5919AB7BAC3B5BA2"
"WEBB_CANONICAL_CHAIN_SUMMARY_V1.json","417","0D1B9BBB07C3A33265599EECCED2E98F701D828191243B95F432D18356DFC638"
"WEBB_FULL_CORPUS_QUALITY_SCAN_V2.json","1062","1F08E5ECE82C56C4E09D278C956D06910FBF8ADA25985A0C8EA038A49BFFFC26"
"WEBB_FULL_CORPUS_VALIDATION_AND_HISTORICAL_BACKFILL_V1.md","7154","D3E483C6E72931FB7B1D97B319A9578DB65D5FDFA77896E3389989440C31C166"
"WEBB_FULL_CORPUS_VALIDATION_SUMMARY_V1.json","1792","D5F08AAAFED2081D5B0E33CCA4902F979764AFACBE1BB3885762DC57999E3085"
"WEBB_NEGATIVE_HOLDINGS_CLUSTERS_V2.csv","3027","0680BEE5910505D431BE76D4A3F8C2D42D64D93C59BCAD40DA469CC25F5E55D1"
"WEBB_NEGATIVE_HOLDINGS_CONTEXT_V2.csv","36911","668176EEDC60E12C932B43883B95465026CAAE50B5F5D3418956F5D960C84ECB"
"WEBB_NEGATIVE_HOLDINGS_FORENSIC_LEDGER_V2.csv","41978","79F03AFC8830AF3C07D04DAF95EC8EFD42A7B5CC7405D3D12F9A0A0ED692E3AF"
"WEBB_NEGATIVE_HOLDINGS_FORENSIC_SUMMARY_V2.json","1873","1537DADF2199374D2394C850B128A7FD84F93B333E668D36028ED9AF8AA33A93"
"WEBB_NEGATIVE_HOLDINGS_FORENSIC_V1.csv","13474","02F953B6836A2BF417BAFB7E819D7C6FA99CC7F5A9C086C40FD4A9EA5A6899E2"
"WEBB_NEGATIVE_HOLDINGS_FORENSICS_AND_BACKFILL_UNBLOCK_V1.md","4387","160968689597AE3DEC5774FC9FE2A388BB01CA97926AD09FCAE391D913123DF6"
"WEBB_NEGATIVE_HOLDINGS_V1.csv","3471","85612B751A8F4C0523B492063AB9F47AE50F979025301C2781C8A12D1FE4751D"
"WEBB_NEGATIVE_SOURCE_SEMANTICS_EVIDENCE_V1.md","2788","E9ACEB8706EFE8BFA19410AEE3E404EAB0553CFFA49830BE6C9D43BAB82AEB16"
"WEBB_OBSERVED_IDENTITY_SUMMARY_V1.json","296","A9B3FD08A23BCBC69AC8C93E726E8BEDA23FAEA09CA7B99C5B8EC1B7B9460FEF"
"WEBB_OBSERVED_ISSUE_IDENTITY_V1.csv","441402","D2313AB24AE0C1262D77956D597BB75968BD7BCCBC74166466AA1E56C8A5F1D7"
"WEBB_OBSERVED_PARTICIPANT_IDENTITY_V1.csv","163375","7913926C619D1131736AE5AF6752B36985A12AE846D1A8BDB21491A5ACE7AA66"
"WEBB_STRATIFIED_VALIDATION_SUMMARY_V1.json","605","9E844B412DEF8A7BD3EFAC7C27EB819B2403AB82774AD9B4919E689F08ECCB7D"
"WEBB_STRATIFIED_VALIDATION_V1.csv","5050","DA47BC52054F6257F28D4F9A1185B673C3416CBA42B66E7275BEB6C0B7E881AC"
"WEBB_YEAR_COVERAGE_V1.csv","2139","351DA568847E4845423948B5FB2E2437E4E2BDE26E65CA3C5791D7FF3C95F501"
