issueID,year,transition_pattern,negative_count
4728,2009,REPEATED_NEGATIVE_RUN,5
1128,2010,ZERO_NEGATIVE_ZERO,3
27922,2019,POSITIVE_NEGATIVE_POSITIVE,2
5462,2012,ZERO_NEGATIVE_ZERO,2
6067,2010,ZERO_NEGATIVE_ZERO,2
1,2014,ZERO_NEGATIVE_ZERO,1
1005,2020,POSITIVE_NEGATIVE_POSITIVE,1
1053,2015,POSITIVE_NEGATIVE_POSITIVE,1
11212,2015,ZERO_NEGATIVE_ZERO,1
11279,2016,POSITIVE_NEGATIVE_POSITIVE,1
1137,2010,ZERO_NEGATIVE_ZERO,1
1149,2014,ZERO_NEGATIVE_ZERO,1
1169,2009,POSITIVE_NEGATIVE_ZERO,1
1226,2017,POSITIVE_NEGATIVE_POSITIVE,1
1245,2015,POSITIVE_NEGATIVE_POSITIVE,1
12487,2016,NEGATIVE_RUN_START,1
12487,2016,REPEATED_NEGATIVE_RUN,1
12521,2015,ZERO_NEGATIVE_POSITIVE,1
12688,2014,ZERO_NEGATIVE_ZERO,1
128,2018,ZERO_NEGATIVE_ZERO,1
1285,2009,ZERO_NEGATIVE_ZERO,1
1302,2017,ZERO_NEGATIVE_POSITIVE,1
13620,2023,ZERO_NEGATIVE_ZERO,1
14145,2020,ZERO_NEGATIVE_ZERO,1
171,2011,POSITIVE_NEGATIVE_POSITIVE,1
195,2009,POSITIVE_NEGATIVE_POSITIVE,1
1997,2022,ZERO_NEGATIVE_ZERO,1
20854,2017,ZERO_NEGATIVE_ZERO,1
21603,2018,POSITIVE_NEGATIVE_ZERO,1
22501,2017,ZERO_NEGATIVE_ZERO,1
2280,2009,NEGATIVE_RUN_START,1
2280,2009,REPEATED_NEGATIVE_RUN,1
24973,2022,ZERO_NEGATIVE_ZERO,1
25453,2025,ZERO_NEGATIVE_ZERO,1
25800,2018,POSITIVE_NEGATIVE_POSITIVE,1
26,2016,POSITIVE_NEGATIVE_POSITIVE,1
26467,2018,ZERO_NEGATIVE_ZERO,1
2665,2010,POSITIVE_NEGATIVE_POSITIVE,1
26953,2022,POSITIVE_NEGATIVE_POSITIVE,1
2699,2009,NEGATIVE_RUN_START,1
2699,2009,REPEATED_NEGATIVE_RUN,1
27,2009,POSITIVE_NEGATIVE_POSITIVE,1
2720,2011,POSITIVE_NEGATIVE_ZERO,1
2747,2010,POSITIVE_NEGATIVE_POSITIVE,1
2857,2015,POSITIVE_NEGATIVE_POSITIVE,1
29903,2021,ZERO_NEGATIVE_ZERO,1
30432,2021,ZERO_NEGATIVE_POSITIVE,1
30578,2021,ZERO_NEGATIVE_ZERO,1
3072,2010,POSITIVE_NEGATIVE_ZERO,1
309,2010,ZERO_NEGATIVE_ZERO,1
3142,2012,ZERO_NEGATIVE_ZERO,1
3371,2014,POSITIVE_NEGATIVE_POSITIVE,1
344,2015,ZERO_NEGATIVE_ZERO,1
34915,2025,POSITIVE_NEGATIVE_POSITIVE,1
3510,2009,NEGATIVE_RUN_START,1
3510,2009,REPEATED_NEGATIVE_RUN,1
35305,2024,POSITIVE_NEGATIVE_POSITIVE,1
3550,2011,ZERO_NEGATIVE_ZERO,1
3553,2010,NEGATIVE_FIRST_OBSERVATION,1
37,2016,POSITIVE_NEGATIVE_POSITIVE,1
37,2017,POSITIVE_NEGATIVE_POSITIVE,1
379,2015,POSITIVE_NEGATIVE_POSITIVE,1
392,2016,ZERO_NEGATIVE_ZERO,1
402,2012,ZERO_NEGATIVE_ZERO,1
4398,2021,POSITIVE_NEGATIVE_POSITIVE,1
4711,2017,POSITIVE_NEGATIVE_POSITIVE,1
4728,2009,NEGATIVE_RUN_START,1
4775,2010,ZERO_NEGATIVE_ZERO,1
4787,2008,POSITIVE_NEGATIVE_POSITIVE,1
5056,2009,ZERO_NEGATIVE_POSITIVE,1
54,2009,POSITIVE_NEGATIVE_POSITIVE,1
6215,2010,ZERO_NEGATIVE_POSITIVE,1
63,2011,POSITIVE_NEGATIVE_POSITIVE,1
63,2012,POSITIVE_NEGATIVE_POSITIVE,1
63,2016,POSITIVE_NEGATIVE_POSITIVE,1
7,2010,ZERO_NEGATIVE_ZERO,1
7014,2011,ZERO_NEGATIVE_ZERO,1
7284,2012,POSITIVE_NEGATIVE_POSITIVE,1
7284,2022,NEGATIVE_FIRST_OBSERVATION,1
9244,2014,POSITIVE_NEGATIVE_POSITIVE,1
975,2014,POSITIVE_NEGATIVE_POSITIVE,1
983,2010,POSITIVE_NEGATIVE_POSITIVE,1
984,2016,POSITIVE_NEGATIVE_POSITIVE,1
