negative_rowid,relative_position,issueID,partID,atDate,holding_value,source_record_reference
35946,-3,1,28,2012-10-24,0,holdings:rowid=35943
35946,-2,1,28,2014-09-04,20000,holdings:rowid=35944
35946,-1,1,28,2014-09-08,0,holdings:rowid=35945
35946,0,1,28,2014-09-18,-20000,holdings:rowid=35946
35946,1,1,28,2014-09-22,0,holdings:rowid=35947
35946,2,1,28,2017-09-05,1000,holdings:rowid=35948
35946,3,1,28,2017-09-07,0,holdings:rowid=35949
36538408,-3,1005,62,2020-01-22,32012,holdings:rowid=36538405
36538408,-2,1005,62,2020-01-29,24012,holdings:rowid=36538406
36538408,-1,1005,62,2020-06-05,12012,holdings:rowid=36538407
36538408,0,1005,62,2020-10-28,-13678,holdings:rowid=36538408
36538408,1,1005,62,2020-10-29,12012,holdings:rowid=36538409
36538408,2,1005,62,2025-03-20,0,holdings:rowid=36538410
40590242,-3,1053,422,2015-03-30,7314000,holdings:rowid=40590239
40590242,-2,1053,422,2015-03-31,6858000,holdings:rowid=40590240
40590242,-1,1053,422,2015-04-01,2728000,holdings:rowid=40590241
40590242,0,1053,422,2015-04-08,-47272000,holdings:rowid=40590242
40590242,1,1053,422,2015-04-09,2738000,holdings:rowid=40590243
40590242,2,1053,422,2015-04-13,2638000,holdings:rowid=40590244
40590242,3,1053,422,2015-04-15,2678000,holdings:rowid=40590245
182904629,-3,11212,172,2014-01-07,0,holdings:rowid=182904626
182904629,-2,11212,172,2015-04-22,4000,holdings:rowid=182904627
182904629,-1,11212,172,2015-04-23,0,holdings:rowid=182904628
182904629,0,11212,172,2015-05-06,-4000,holdings:rowid=182904629
182904629,1,11212,172,2015-05-07,0,holdings:rowid=182904630
183104138,-3,11279,103,2016-11-22,2084000,holdings:rowid=183104135
183104138,-2,11279,103,2016-11-23,1544000,holdings:rowid=183104136
183104138,-1,11279,103,2016-11-24,1284000,holdings:rowid=183104137
183104138,0,11279,103,2016-11-28,-1744000,holdings:rowid=183104138
183104138,1,11279,103,2016-11-29,1256000,holdings:rowid=183104139
183104138,2,11279,103,2016-11-30,1184000,holdings:rowid=183104140
183104138,3,11279,103,2016-12-07,1208000,holdings:rowid=183104141
47943468,-3,1128,144,2008-06-19,0,holdings:rowid=47943465
47943468,-2,1128,144,2010-01-21,4000,holdings:rowid=47943466
47943468,-1,1128,144,2010-01-22,0,holdings:rowid=47943467
47943468,0,1128,144,2010-01-26,-4000,holdings:rowid=47943468
47943468,1,1128,144,2010-01-28,0,holdings:rowid=47943469
47943468,2,1128,144,2010-02-02,-4000,holdings:rowid=47943470
47943468,3,1128,144,2010-02-03,0,holdings:rowid=47943471
47943470,-3,1128,144,2010-01-22,0,holdings:rowid=47943467
47943470,-2,1128,144,2010-01-26,-4000,holdings:rowid=47943468
47943470,-1,1128,144,2010-01-28,0,holdings:rowid=47943469
47943470,0,1128,144,2010-02-02,-4000,holdings:rowid=47943470
47943470,1,1128,144,2010-02-03,0,holdings:rowid=47943471
47943970,-3,1128,220,2008-09-17,0,holdings:rowid=47943967
47943970,-2,1128,220,2009-10-19,5000,holdings:rowid=47943968
47943970,-1,1128,220,2009-10-20,0,holdings:rowid=47943969
47943970,0,1128,220,2010-03-25,-2000,holdings:rowid=47943970
47943970,1,1128,220,2010-03-29,0,holdings:rowid=47943971
48855339,-3,1137,412,2010-09-03,0,holdings:rowid=48855336
48855339,-2,1137,412,2010-09-13,20000,holdings:rowid=48855337
48855339,-1,1137,412,2010-09-14,0,holdings:rowid=48855338
48855339,0,1137,412,2010-09-30,-38300,holdings:rowid=48855339
48855339,1,1137,412,2010-10-04,0,holdings:rowid=48855340
48855339,2,1137,412,2010-10-21,4000,holdings:rowid=48855341
48855339,3,1137,412,2010-10-22,0,holdings:rowid=48855342
50264453,-2,1149,111,2014-11-25,19166,holdings:rowid=50264451
50264453,-1,1149,111,2014-11-27,0,holdings:rowid=50264452
50264453,0,1149,111,2014-12-03,-19166,holdings:rowid=50264453
50264453,1,1149,111,2014-12-04,0,holdings:rowid=50264454
52143396,-1,1169,15,2009-11-30,2000,holdings:rowid=52143395
52143396,0,1169,15,2009-12-04,-2000,holdings:rowid=52143396
52143396,1,1169,15,2009-12-07,0,holdings:rowid=52143397
52143396,2,1169,15,2009-12-08,2000,holdings:rowid=52143398
52143396,3,1169,15,2010-01-05,0,holdings:rowid=52143399
55451671,-3,1226,243,2017-10-27,136636,holdings:rowid=55451668
55451671,-2,1226,243,2017-10-30,17136,holdings:rowid=55451669
55451671,-1,1226,243,2017-10-31,21136,holdings:rowid=55451670
55451671,0,1226,243,2017-11-01,-78864,holdings:rowid=55451671
55451671,1,1226,243,2017-11-02,43136,holdings:rowid=55451672
55451671,2,1226,243,2017-11-03,145136,holdings:rowid=55451673
55451671,3,1226,243,2017-11-06,127136,holdings:rowid=55451674
58500818,-3,1245,353,2014-02-20,63800,holdings:rowid=58500815
58500818,-2,1245,353,2015-04-17,263800,holdings:rowid=58500816
58500818,-1,1245,353,2015-04-20,63800,holdings:rowid=58500817
58500818,0,1245,353,2015-04-29,-136200,holdings:rowid=58500818
58500818,1,1245,353,2015-05-05,63800,holdings:rowid=58500819
58500818,2,1245,353,2015-06-01,62800,holdings:rowid=58500820
58500818,3,1245,353,2015-06-16,102800,holdings:rowid=58500821
188864420,-3,12487,236,2016-01-13,39590000,holdings:rowid=188864417
188864420,-2,12487,236,2016-01-14,38342000,holdings:rowid=188864418
188864420,-1,12487,236,2016-01-18,38242000,holdings:rowid=188864419
188864420,0,12487,236,2016-01-19,-43810000,holdings:rowid=188864420
188864420,1,12487,236,2016-01-21,-44660000,holdings:rowid=188864421
188864420,2,12487,236,2019-10-16,0,holdings:rowid=188864422
188864421,-3,12487,236,2016-01-14,38342000,holdings:rowid=188864418
188864421,-2,12487,236,2016-01-18,38242000,holdings:rowid=188864419
188864421,-1,12487,236,2016-01-19,-43810000,holdings:rowid=188864420
188864421,0,12487,236,2016-01-21,-44660000,holdings:rowid=188864421
188864421,1,12487,236,2019-10-16,0,holdings:rowid=188864422
189303167,-3,12521,114,2014-08-01,123000,holdings:rowid=189303164
189303167,-2,12521,114,2014-08-04,23000,holdings:rowid=189303165
189303167,-1,12521,114,2014-08-12,0,holdings:rowid=189303166
189303167,0,12521,114,2015-04-14,-1000,holdings:rowid=189303167
189303167,1,12521,114,2015-04-15,4000,holdings:rowid=189303168
189303167,2,12521,114,2015-04-17,6000,holdings:rowid=189303169
189303167,3,12521,114,2015-04-30,16000,holdings:rowid=189303170
190068550,-3,12688,111,2014-10-28,0,holdings:rowid=190068547
190068550,-2,12688,111,2014-11-25,3833,holdings:rowid=190068548
190068550,-1,12688,111,2014-11-27,0,holdings:rowid=190068549
190068550,0,12688,111,2014-12-03,-3833,holdings:rowid=190068550
190068550,1,12688,111,2014-12-04,0,holdings:rowid=190068551
190068550,2,12688,111,2019-09-18,78000,holdings:rowid=190068552
190068550,3,12688,111,2019-09-25,178000,holdings:rowid=190068553
9857110,-3,128,240,2016-07-18,0,holdings:rowid=9857107
9857110,-2,128,240,2017-12-22,4640,holdings:rowid=9857108
9857110,-1,128,240,2018-01-02,0,holdings:rowid=9857109
9857110,0,128,240,2018-01-04,-4640,holdings:rowid=9857110
9857110,1,128,240,2018-01-05,0,holdings:rowid=9857111
61150294,-3,1285,275,2009-06-24,0,holdings:rowid=61150291
61150294,-2,1285,275,2009-07-03,4920,holdings:rowid=61150292
61150294,-1,1285,275,2009-07-06,0,holdings:rowid=61150293
61150294,0,1285,275,2009-07-10,-4920,holdings:rowid=61150294
61150294,1,1285,275,2009-07-15,0,holdings:rowid=61150295
61150294,2,1285,275,2011-06-01,2000,holdings:rowid=61150296
61150294,3,1285,275,2011-06-08,0,holdings:rowid=61150297
62550625,-3,1302,209,2014-04-16,0,holdings:rowid=62550622
62550625,-2,1302,209,2017-02-14,30000,holdings:rowid=62550623
62550625,-1,1302,209,2017-02-15,0,holdings:rowid=62550624
62550625,0,1302,209,2017-02-16,-60000,holdings:rowid=62550625
62550625,1,1302,209,2017-02-17,30000,holdings:rowid=62550626
62550625,2,1302,209,2017-02-20,0,holdings:rowid=62550627
193536122,-3,13620,1370,2022-06-08,0,holdings:rowid=193536119
193536122,-2,13620,1370,2023-03-27,1000,holdings:rowid=193536120
193536122,-1,13620,1370,2023-03-30,0,holdings:rowid=193536121
193536122,0,13620,1370,2023-04-14,-1000,holdings:rowid=193536122
193536122,1,13620,1370,2023-04-18,0,holdings:rowid=193536123
193536122,2,13620,1370,2023-05-19,131000,holdings:rowid=193536124
193536122,3,13620,1370,2023-05-22,40000,holdings:rowid=193536125
194507888,-3,14145,145,2020-07-06,100000,holdings:rowid=194507885
194507888,-2,14145,145,2020-08-06,200000,holdings:rowid=194507886
194507888,-1,14145,145,2020-08-11,0,holdings:rowid=194507887
194507888,0,14145,145,2020-08-20,-100000,holdings:rowid=194507888
194507888,1,14145,145,2020-08-24,0,holdings:rowid=194507889
10835275,-1,171,184,2010-11-19,3000,holdings:rowid=10835274
10835275,0,171,184,2011-05-25,-18000,holdings:rowid=10835275
10835275,1,171,184,2011-05-31,3000,holdings:rowid=10835276
10835275,2,171,184,2011-08-01,0,holdings:rowid=10835277
10835275,3,171,184,2013-01-28,3000,holdings:rowid=10835278
12063774,-3,195,355,2008-12-18,16000,holdings:rowid=12063771
12063774,-2,195,355,2008-12-22,18000,holdings:rowid=12063772
12063774,-1,195,355,2009-01-09,16000,holdings:rowid=12063773
12063774,0,195,355,2009-06-10,-4000,holdings:rowid=12063774
12063774,1,195,355,2009-06-11,16000,holdings:rowid=12063775
12063774,2,195,355,2009-10-08,6000,holdings:rowid=12063776
12063774,3,195,355,2009-10-27,16000,holdings:rowid=12063777
67857086,-3,1997,353,2016-01-19,0,holdings:rowid=67857083
67857086,-2,1997,353,2022-04-07,100000,holdings:rowid=67857084
67857086,-1,1997,353,2022-04-12,0,holdings:rowid=67857085
67857086,0,1997,353,2022-04-22,-100000,holdings:rowid=67857086
67857086,1,1997,353,2022-04-26,0,holdings:rowid=67857087
67857086,2,1997,353,2022-05-26,10000,holdings:rowid=67857088
67857086,3,1997,353,2022-07-06,0,holdings:rowid=67857089
200096567,-3,20854,179,2016-08-23,120000,holdings:rowid=200096564
200096567,-2,20854,179,2016-08-24,20000,holdings:rowid=200096565
200096567,-1,20854,179,2016-10-03,0,holdings:rowid=200096566
200096567,0,20854,179,2017-03-29,-202800000,holdings:rowid=200096567
200096567,1,20854,179,2017-03-30,0,holdings:rowid=200096568
200096567,2,20854,179,2017-06-14,980000,holdings:rowid=200096569
200096567,3,20854,179,2017-06-15,0,holdings:rowid=200096570
200769098,-3,21603,150,2017-07-24,20000,holdings:rowid=200769095
200769098,-2,21603,150,2017-07-27,0,holdings:rowid=200769096
200769098,-1,21603,150,2018-07-13,26000,holdings:rowid=200769097
200769098,0,21603,150,2018-07-20,-13000,holdings:rowid=200769098
200769098,1,21603,150,2018-07-24,0,holdings:rowid=200769099
200769098,2,21603,150,2018-07-25,13000,holdings:rowid=200769100
200769098,3,21603,150,2018-08-31,0,holdings:rowid=200769101
202423283,-3,22501,185,2017-03-08,0,holdings:rowid=202423280
202423283,-2,22501,185,2017-03-21,10000,holdings:rowid=202423281
202423283,-1,22501,185,2017-03-22,0,holdings:rowid=202423282
202423283,0,22501,185,2017-03-30,-10000,holdings:rowid=202423283
202423283,1,22501,185,2017-04-05,0,holdings:rowid=202423284
202423283,2,22501,185,2017-04-19,10000,holdings:rowid=202423285
202423283,3,22501,185,2017-04-20,0,holdings:rowid=202423286
69684509,-3,2280,102,2009-02-25,5000,holdings:rowid=69684506
69684509,-2,2280,102,2009-03-06,7600,holdings:rowid=69684507
69684509,-1,2280,102,2009-03-09,5000,holdings:rowid=69684508
69684509,0,2280,102,2009-07-13,-3000,holdings:rowid=69684509
69684509,1,2280,102,2009-07-14,-3000,holdings:rowid=69684510
69684509,2,2280,102,2009-07-15,1000,holdings:rowid=69684511
69684509,3,2280,102,2009-07-16,9000,holdings:rowid=69684512
69684510,-3,2280,102,2009-03-06,7600,holdings:rowid=69684507
69684510,-2,2280,102,2009-03-09,5000,holdings:rowid=69684508
69684510,-1,2280,102,2009-07-13,-3000,holdings:rowid=69684509
69684510,0,2280,102,2009-07-14,-3000,holdings:rowid=69684510
69684510,1,2280,102,2009-07-15,1000,holdings:rowid=69684511
69684510,2,2280,102,2009-07-16,9000,holdings:rowid=69684512
69684510,3,2280,102,2009-07-17,5000,holdings:rowid=69684513
203717638,-3,24973,132,2022-07-04,280000,holdings:rowid=203717635
203717638,-2,24973,132,2022-07-05,40000,holdings:rowid=203717636
203717638,-1,24973,132,2022-07-06,0,holdings:rowid=203717637
203717638,0,24973,132,2022-07-12,-30000,holdings:rowid=203717638
203717638,1,24973,132,2022-07-14,0,holdings:rowid=203717639
203717638,2,24973,132,2022-07-15,10000,holdings:rowid=203717640
203717638,3,24973,132,2022-08-02,0,holdings:rowid=203717641
205974458,-3,25453,62,2025-04-09,2000,holdings:rowid=205974455
205974458,-2,25453,62,2025-04-11,1500,holdings:rowid=205974456
205974458,-1,25453,62,2025-04-15,0,holdings:rowid=205974457
205974458,0,25453,62,2025-04-17,-500,holdings:rowid=205974458
205974458,1,25453,62,2025-04-25,0,holdings:rowid=205974459
206990227,-3,25800,70,2018-02-28,443565,holdings:rowid=206990224
206990227,-2,25800,70,2018-03-01,4765,holdings:rowid=206990225
206990227,-1,25800,70,2018-03-02,29765,holdings:rowid=206990226
206990227,0,25800,70,2018-03-05,-1295800,holdings:rowid=206990227
206990227,1,25800,70,2018-03-06,29765,holdings:rowid=206990228
206990227,2,25800,70,2018-03-16,19765,holdings:rowid=206990229
206990227,3,25800,70,2018-10-11,20530,holdings:rowid=206990230
2943984,-3,26,366,2016-09-30,1347,holdings:rowid=2943981
2943984,-2,26,366,2016-10-05,347,holdings:rowid=2943982
2943984,-1,26,366,2016-11-03,4347,holdings:rowid=2943983
2943984,0,26,366,2016-11-09,-653,holdings:rowid=2943984
2943984,1,26,366,2016-11-10,4347,holdings:rowid=2943985
2943984,2,26,366,2017-01-05,3347,holdings:rowid=2943986
2943984,3,26,366,2017-03-15,2347,holdings:rowid=2943987
208522025,-3,26467,102,2018-05-30,10000,holdings:rowid=208522022
208522025,-2,26467,102,2018-06-01,5000,holdings:rowid=208522023
208522025,-1,26467,102,2018-06-04,0,holdings:rowid=208522024
208522025,0,26467,102,2018-06-06,-5000,holdings:rowid=208522025
208522025,1,26467,102,2018-06-08,0,holdings:rowid=208522026
208522025,2,26467,102,2018-06-12,5000,holdings:rowid=208522027
208522025,3,26467,102,2019-05-07,0,holdings:rowid=208522028
76513170,-3,2665,366,2010-02-19,90000,holdings:rowid=76513167
76513170,-2,2665,366,2010-02-22,50000,holdings:rowid=76513168
76513170,-1,2665,366,2010-02-23,10000,holdings:rowid=76513169
76513170,0,2665,366,2010-02-26,-20000,holdings:rowid=76513170
76513170,1,2665,366,2010-03-01,10000,holdings:rowid=76513171
76513170,2,2665,366,2010-04-12,92000,holdings:rowid=76513172
76513170,3,2665,366,2010-04-13,52000,holdings:rowid=76513173
211929980,-3,26953,155,2022-06-02,228000,holdings:rowid=211929977
211929980,-2,26953,155,2022-06-06,76000,holdings:rowid=211929978
211929980,-1,26953,155,2022-06-07,44000,holdings:rowid=211929979
211929980,0,26953,155,2022-06-10,-200000,holdings:rowid=211929980
211929980,1,26953,155,2022-06-14,12000,holdings:rowid=211929981
211929980,2,26953,155,2022-06-15,256000,holdings:rowid=211929982
211929980,3,26953,155,2022-07-14,208000,holdings:rowid=211929983
76949189,-3,2699,77,2009-03-11,363000,holdings:rowid=76949186
76949189,-2,2699,77,2009-03-12,163000,holdings:rowid=76949187
76949189,-1,2699,77,2009-03-13,45000,holdings:rowid=76949188
76949189,0,2699,77,2009-03-17,-955000,holdings:rowid=76949189
76949189,1,2699,77,2009-03-18,-755000,holdings:rowid=76949190
76949189,2,2699,77,2009-03-19,245000,holdings:rowid=76949191
76949189,3,2699,77,2009-03-27,345000,holdings:rowid=76949192
76949190,-3,2699,77,2009-03-12,163000,holdings:rowid=76949187
76949190,-2,2699,77,2009-03-13,45000,holdings:rowid=76949188
76949190,-1,2699,77,2009-03-17,-955000,holdings:rowid=76949189
76949190,0,2699,77,2009-03-18,-755000,holdings:rowid=76949190
76949190,1,2699,77,2009-03-19,245000,holdings:rowid=76949191
76949190,2,2699,77,2009-03-27,345000,holdings:rowid=76949192
76949190,3,2699,77,2009-06-02,45000,holdings:rowid=76949193
3153973,-3,27,192,2009-11-24,26860,holdings:rowid=3153970
3153973,-2,27,192,2009-11-26,16860,holdings:rowid=3153971
3153973,-1,27,192,2009-11-30,10860,holdings:rowid=3153972
3153973,0,27,192,2009-12-01,-13140,holdings:rowid=3153973
3153973,1,27,192,2009-12-03,8860,holdings:rowid=3153974
3153973,2,27,192,2010-02-10,9460,holdings:rowid=3153975
77150241,-3,2720,298,2011-03-29,166000,holdings:rowid=77150238
77150241,-2,2720,298,2011-03-30,146000,holdings:rowid=77150239
77150241,-1,2720,298,2011-03-31,50000,holdings:rowid=77150240
77150241,0,2720,298,2011-04-08,-76000,holdings:rowid=77150241
77150241,1,2720,298,2011-04-12,0,holdings:rowid=77150242
77150241,2,2720,298,2011-05-12,50000,holdings:rowid=77150243
77150241,3,2720,298,2011-05-17,80000,holdings:rowid=77150244
77995588,-3,2747,187,2007-07-30,0,holdings:rowid=77995585
77995588,-2,2747,187,2010-06-02,1268110,holdings:rowid=77995586
77995588,-1,2747,187,2010-06-07,968110,holdings:rowid=77995587
77995588,0,2747,187,2010-06-17,-400000,holdings:rowid=77995588
77995588,1,2747,187,2010-06-21,868110,holdings:rowid=77995589
77995588,2,2747,187,2010-06-25,718110,holdings:rowid=77995590
77995588,3,2747,187,2010-06-28,518110,holdings:rowid=77995591
214943436,-3,27922,423,2019-12-18,17476000,holdings:rowid=214943433
214943436,-2,27922,423,2019-12-19,16294000,holdings:rowid=214943434
214943436,-1,27922,423,2019-12-20,16304400,holdings:rowid=214943435
214943436,0,27922,423,2019-12-23,-1916400,holdings:rowid=214943436
214943436,1,27922,423,2019-12-24,16083600,holdings:rowid=214943437
214943436,2,27922,423,2019-12-27,14506400,holdings:rowid=214943438
214943436,3,27922,423,2019-12-30,14092800,holdings:rowid=214943439
214943440,-3,27922,423,2019-12-24,16083600,holdings:rowid=214943437
214943440,-2,27922,423,2019-12-27,14506400,holdings:rowid=214943438
214943440,-1,27922,423,2019-12-30,14092800,holdings:rowid=214943439
214943440,0,27922,423,2019-12-31,-3907200,holdings:rowid=214943440
214943440,1,27922,423,2020-01-02,14092800,holdings:rowid=214943441
214943440,2,27922,423,2020-01-03,14059600,holdings:rowid=214943442
214943440,3,27922,423,2020-01-07,14014400,holdings:rowid=214943443
80758571,-3,2857,267,2015-03-31,88145892,holdings:rowid=80758568
80758571,-2,2857,267,2015-04-01,84345892,holdings:rowid=80758569
80758571,-1,2857,267,2015-04-02,72655892,holdings:rowid=80758570
80758571,0,2857,267,2015-04-08,-2344108,holdings:rowid=80758571
