issueID,partID,atDate,holding_value,natural_key,preceding_value,following_value,preceding_date,following_date,security_name,security_code_at_source,participant_ccass_id,participant_name,source_db,source_table,source_record_reference,source_sha256,code_version,parser_value,reconstructed_value,raw_matches_parser,raw_matches_reconstruction,parser_generated_negative,reconstruction_generated_negative,source_native_negative,transition_pattern,magnitude,year,same_day_duplicate,disposition
1,28,2014-09-18,-20000,1|28|2014-09-18,0,0,2014-09-08,2014-09-22,WHARF HOLDINGS,0004,B01157,PASAY STOCK AND SHARES LTD,webbsite_full.sqlite,holdings,holdings:rowid=35946;issueID=1;partID=28;atDate=2014-09-18,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-20000,-20000,YES,YES,NO,NO,YES,ZERO_NEGATIVE_ZERO,20000,2014,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
1005,62,2020-10-28,-13678,1005|62|2020-10-28,12012,12012,2020-06-05,2020-10-29,CHUANG'S INT'L,0367,B01259,FAIR EAGLE SECURITIES CO LTD,webbsite_full.sqlite,holdings,holdings:rowid=36538408;issueID=1005;partID=62;atDate=2020-10-28,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-13678,-13678,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_POSITIVE,13678,2020,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
1053,422,2015-04-08,-47272000,1053|422|2015-04-08,2728000,2738000,2015-04-01,2015-04-09,TONGGUAN GOLD,340,B01825,GUOYUAN SECURITIES BROKERAGE (HONG KONG),webbsite_full.sqlite,holdings,holdings:rowid=40590242;issueID=1053;partID=422;atDate=2015-04-08,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-47272000,-47272000,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_POSITIVE,47272000,2015,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
11212,172,2015-05-06,-4000,11212|172|2015-05-06,0,0,2015-04-23,2015-05-07,HK FINANCE GP,1273,B01472,SUN GROWTH SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=182904629;issueID=11212;partID=172;atDate=2015-05-06,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-4000,-4000,YES,YES,NO,NO,YES,ZERO_NEGATIVE_ZERO,4000,2015,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
11279,103,2016-11-28,-1744000,11279|103|2016-11-28,1284000,1256000,2016-11-24,2016-11-29,ECHO INT HOLD,8218,B01345,PHILLIP SECURITIES (HONG KONG) LTD,webbsite_full.sqlite,holdings,holdings:rowid=183104138;issueID=11279;partID=103;atDate=2016-11-28,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-1744000,-1744000,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_POSITIVE,1744000,2016,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
1128,144,2010-01-26,-4000,1128|144|2010-01-26,0,0,2010-01-22,2010-01-28,LAM SOON (HK),0411,B01427,TSE'S SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=47943468;issueID=1128;partID=144;atDate=2010-01-26,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-4000,-4000,YES,YES,NO,NO,YES,ZERO_NEGATIVE_ZERO,4000,2010,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
1128,144,2010-02-02,-4000,1128|144|2010-02-02,0,0,2010-01-28,2010-02-03,LAM SOON (HK),0411,B01427,TSE'S SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=47943470;issueID=1128;partID=144;atDate=2010-02-02,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-4000,-4000,YES,YES,NO,NO,YES,ZERO_NEGATIVE_ZERO,4000,2010,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
1128,220,2010-03-25,-2000,1128|220|2010-03-25,0,0,2009-10-20,2010-03-29,LAM SOON (HK),0411,B01559,WISETRADE SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=47943970;issueID=1128;partID=220;atDate=2010-03-25,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-2000,-2000,YES,YES,NO,NO,YES,ZERO_NEGATIVE_ZERO,2000,2010,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
1137,412,2010-09-30,-38300,1137|412|2010-09-30,0,0,2010-09-14,2010-10-04,LI & FUNG,494,B01814,WELL LINK SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=48855339;issueID=1137;partID=412;atDate=2010-09-30,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-38300,-38300,YES,YES,NO,NO,YES,ZERO_NEGATIVE_ZERO,38300,2010,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
1149,111,2014-12-03,-19166,1149|111|2014-12-03,0,0,2014-11-27,2014-12-04,MAN SANG INT'L,938,B01362,JOSPA INVESTMENT CO LTD,webbsite_full.sqlite,holdings,holdings:rowid=50264453;issueID=1149;partID=111;atDate=2014-12-03,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-19166,-19166,YES,YES,NO,NO,YES,ZERO_NEGATIVE_ZERO,19166,2014,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
1169,15,2009-12-04,-2000,1169|15|2009-12-04,2000,0,2009-11-30,2009-12-07,NGAI HING HONG,1047,B01127,REORIENT FINANCIAL MARKETS LTD,webbsite_full.sqlite,holdings,holdings:rowid=52143396;issueID=1169;partID=15;atDate=2009-12-04,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-2000,-2000,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_ZERO,2000,2009,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
1226,243,2017-11-01,-78864,1226|243|2017-11-01,21136,43136,2017-10-31,2017-11-02,SEA HOLDINGS,0251,B01590,INTERACTIVE BROKERS HONG KONG LTD,webbsite_full.sqlite,holdings,holdings:rowid=55451671;issueID=1226;partID=243;atDate=2017-11-01,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-78864,-78864,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_POSITIVE,78864,2017,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
1245,353,2015-04-29,-136200,1245|353|2015-04-29,63800,63800,2015-04-20,2015-05-05,CHINA VERED FIN,245,B01749,TANG KEE SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=58500818;issueID=1245;partID=353;atDate=2015-04-29,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-136200,-136200,YES,YES,NO,NO,YES,POSITIVE_NEGATIVE_POSITIVE,136200,2015,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
12487,236,2016-01-19,-43810000,12487|236|2016-01-19,38242000,-44660000,2016-01-18,2016-01-21,CG DUNXIN,2229,B01581,KINGSWAY FINANCIAL SERVICES GROUP LTD,webbsite_full.sqlite,holdings,holdings:rowid=188864420;issueID=12487;partID=236;atDate=2016-01-19,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-43810000,-43810000,YES,YES,NO,NO,YES,NEGATIVE_RUN_START,43810000,2016,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
12487,236,2016-01-21,-44660000,12487|236|2016-01-21,-43810000,0,2016-01-19,2019-10-16,CG DUNXIN,2229,B01581,KINGSWAY FINANCIAL SERVICES GROUP LTD,webbsite_full.sqlite,holdings,holdings:rowid=188864421;issueID=12487;partID=236;atDate=2016-01-21,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-44660000,-44660000,YES,YES,NO,NO,YES,REPEATED_NEGATIVE_RUN,44660000,2016,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
12521,114,2015-04-14,-1000,12521|114|2015-04-14,0,4000,2014-08-12,2015-04-15,TIANGE,1980,B01373,CHRISTFUND SECURITIES LTD,webbsite_full.sqlite,holdings,holdings:rowid=189303167;issueID=12521;partID=114;atDate=2015-04-14,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-1000,-1000,YES,YES,NO,NO,YES,ZERO_NEGATIVE_POSITIVE,1000,2015,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
12688,111,2014-12-03,-3833,12688|111|2014-12-03,0,0,2014-11-27,2014-12-04,BAIJIN LIFE-32K,2989,B01362,JOSPA INVESTMENT CO LTD,webbsite_full.sqlite,holdings,holdings:rowid=190068550;issueID=12688;partID=111;atDate=2014-12-03,9CCDE356D068399BFBC931CA6E367E5944AFCF5C16C83D2FF240636995B0BE7C,bb0d920f0ec2dfb21c9641cc4bedfc6772dc381a,-3833,-3833,YES,YES,NO,NO,YES,ZERO_NEGATIVE_ZERO,3833,2014,NO,FORMAL_QUARANTINE_PENDING_AUTHORITATIVE_SEMANTICS
