issue_id,part_id,change_date,absolute_holding,source_rowid,security_name,participant_name,previous_change_date,previous_absolute_holding,next_change_date,next_absolute_holding,forensic_classification,safe_automatic_disposition
1,28,2014-09-18,-20000,35946,WHARF HOLDINGS,PASAY STOCK AND SHARES LTD,2014-09-08,0,2014-09-22,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
1005,62,2020-10-28,-13678,36538408,CHUANG'S INT'L,FAIR EAGLE SECURITIES CO LTD,2020-06-05,12012,2020-10-29,12012,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
1053,422,2015-04-08,-47272000,40590242,TONGGUAN GOLD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),2015-04-01,2728000,2015-04-09,2738000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
11212,172,2015-05-06,-4000,182904629,HK FINANCE GP,SUN GROWTH SECURITIES LTD,2015-04-23,0,2015-05-07,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
11279,103,2016-11-28,-1744000,183104138,ECHO INT HOLD,PHILLIP SECURITIES (HONG KONG) LTD,2016-11-24,1284000,2016-11-29,1256000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
1128,144,2010-01-26,-4000,47943468,LAM SOON (HK),TSE'S SECURITIES LTD,2010-01-22,0,2010-01-28,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
1128,144,2010-02-02,-4000,47943470,LAM SOON (HK),TSE'S SECURITIES LTD,2010-01-28,0,2010-02-03,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
1128,220,2010-03-25,-2000,47943970,LAM SOON (HK),WISETRADE SECURITIES LTD,2009-10-20,0,2010-03-29,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
1137,412,2010-09-30,-38300,48855339,LI & FUNG,WELL LINK SECURITIES LTD,2010-09-14,0,2010-10-04,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
1149,111,2014-12-03,-19166,50264453,MAN SANG INT'L,JOSPA INVESTMENT CO LTD,2014-11-27,0,2014-12-04,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
1169,15,2009-12-04,-2000,52143396,NGAI HING HONG,REORIENT FINANCIAL MARKETS LTD,2009-11-30,2000,2009-12-07,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
1226,243,2017-11-01,-78864,55451671,SEA HOLDINGS,INTERACTIVE BROKERS HONG KONG LTD,2017-10-31,21136,2017-11-02,43136,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
1245,353,2015-04-29,-136200,58500818,CHINA VERED FIN,TANG KEE SECURITIES LTD,2015-04-20,63800,2015-05-05,63800,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
12487,236,2016-01-19,-43810000,188864420,CG DUNXIN,KINGSWAY FINANCIAL SERVICES GROUP LTD,2016-01-18,38242000,2016-01-21,-44660000,NEGATIVE_RUN_START,NONE
12487,236,2016-01-21,-44660000,188864421,CG DUNXIN,KINGSWAY FINANCIAL SERVICES GROUP LTD,2016-01-19,-43810000,2019-10-16,0,REPEATED_NEGATIVE_RUN,NONE
12521,114,2015-04-14,-1000,189303167,TIANGE,CHRISTFUND SECURITIES LTD,2014-08-12,0,2015-04-15,4000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
12688,111,2014-12-03,-3833,190068550,BAIJIN LIFE-32K,JOSPA INVESTMENT CO LTD,2014-11-27,0,2014-12-04,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
128,240,2018-01-04,-4640,9857110,LAI SUN INT'L,SINO GRADE SECURITIES LTD,2018-01-02,0,2018-01-05,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
1285,275,2009-07-10,-4920,61150294,TSE SUI LUEN,TAI NING STOCK CO LTD,2009-07-06,0,2009-07-15,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
1302,209,2017-02-16,-60000,62550625,WAI KEE HOLD,KWONG FAT HONG (SECURITIES) LTD,2017-02-15,0,2017-02-17,30000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
13620,1370,2023-04-14,-1000,193536122,CA CULTURAL,HUAJIN SECURITIES (INTERNATIONAL) LTD,2023-03-30,0,2023-04-18,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
14145,145,2020-08-20,-100000,194507888,CH GREENFRESH,HIP HING SECURITIES LTD,2020-08-11,0,2020-08-24,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
171,184,2011-05-25,-18000,10835275,CROSS-HAR(HOLD),AUDREY CHOW SECURITIES LTD,2010-11-19,3000,2011-05-31,3000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
195,355,2009-06-10,-4000,12063774,CHINA EB LTD,IMAGI BROKERAGE LTD,2009-01-09,16000,2009-06-11,16000,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
1997,353,2022-04-22,-100000,67857086,LERADO FIN,TANG KEE SECURITIES LTD,2022-04-12,0,2022-04-26,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
20854,179,2017-03-29,-202800000,200096567,JIN MI FANG GP,GRAND CARTEL SECURITIES CO LTD,2016-10-03,0,2017-03-30,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
21603,150,2018-07-20,-13000,200769098,CHINARES PHARMA,KINGSTON SECURITIES LTD,2018-07-13,26000,2018-07-24,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
22501,185,2017-03-30,-10000,202423283,DADI EDU,SINOPAC SECURITIES (ASIA) LTD,2017-03-22,0,2017-04-05,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
2280,102,2009-07-13,-3000,69684509,TCL ELECTRONICS,CELETIO INVESTMENTS LTD,2009-03-09,5000,2009-07-14,-3000,NEGATIVE_RUN_START,NONE
2280,102,2009-07-14,-3000,69684510,TCL ELECTRONICS,CELETIO INVESTMENTS LTD,2009-07-13,-3000,2009-07-15,1000,REPEATED_NEGATIVE_RUN,NONE
24973,132,2022-07-12,-30000,203717638,BRIGHTSTAR TECH,WINGS SECURITIES (HK) LTD,2022-07-06,0,2022-07-14,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
25453,62,2025-04-17,-500,205974458,YIXIN,FAIR EAGLE SECURITIES CO LTD,2025-04-15,0,2025-04-25,0,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
25800,70,2018-03-05,-1295800,206990227,XINGHUA PORT,MORGAN STANLEY HONG KONG SECURITIES LTD,2018-03-02,29765,2018-03-06,29765,ISOLATED_NEGATIVE_BETWEEN_STATES,NONE
