issue_id,part_id,change_date,absolute_holding,source_rowid
1,28,2014-09-18,-20000,35946
1005,62,2020-10-28,-13678,36538408
1053,422,2015-04-08,-47272000,40590242
11212,172,2015-05-06,-4000,182904629
11279,103,2016-11-28,-1744000,183104138
1128,144,2010-01-26,-4000,47943468
1128,144,2010-02-02,-4000,47943470
1128,220,2010-03-25,-2000,47943970
1137,412,2010-09-30,-38300,48855339
1149,111,2014-12-03,-19166,50264453
1169,15,2009-12-04,-2000,52143396
1226,243,2017-11-01,-78864,55451671
1245,353,2015-04-29,-136200,58500818
12487,236,2016-01-19,-43810000,188864420
12487,236,2016-01-21,-44660000,188864421
12521,114,2015-04-14,-1000,189303167
12688,111,2014-12-03,-3833,190068550
128,240,2018-01-04,-4640,9857110
1285,275,2009-07-10,-4920,61150294
1302,209,2017-02-16,-60000,62550625
13620,1370,2023-04-14,-1000,193536122
14145,145,2020-08-20,-100000,194507888
171,184,2011-05-25,-18000,10835275
195,355,2009-06-10,-4000,12063774
1997,353,2022-04-22,-100000,67857086
20854,179,2017-03-29,-202800000,200096567
21603,150,2018-07-20,-13000,200769098
22501,185,2017-03-30,-10000,202423283
2280,102,2009-07-13,-3000,69684509
2280,102,2009-07-14,-3000,69684510
24973,132,2022-07-12,-30000,203717638
25453,62,2025-04-17,-500,205974458
25800,70,2018-03-05,-1295800,206990227
26,366,2016-11-09,-653,2943984
26467,102,2018-06-06,-5000,208522025
2665,366,2010-02-26,-20000,76513170
26953,155,2022-06-10,-200000,211929980
2699,77,2009-03-17,-955000,76949189
2699,77,2009-03-18,-755000,76949190
27,192,2009-12-01,-13140,3153973
2720,298,2011-04-08,-76000,77150241
2747,187,2010-06-17,-400000,77995588
27922,423,2019-12-23,-1916400,214943436
27922,423,2019-12-31,-3907200,214943440
2857,267,2015-04-08,-2344108,80758571
29903,114,2021-01-19,-2000,222496638
30432,119,2021-02-03,-1000,223962936
30578,380,2021-03-08,-500,224555658
3072,291,2010-07-23,-20000,85389118
309,298,2010-01-29,-40000,17228924
3142,88,2012-03-02,-500000,87817811
3371,292,2014-10-16,-243739,94032728
344,1210,2015-03-26,-2051,18181365
34915,108,2025-10-24,-30624000,228547890
3510,194,2009-06-08,-20000,104847210
3510,194,2009-06-09,-20000,104847211
35305,83,2024-06-24,-547000,228882231
3550,353,2011-01-03,-12000,105274404
3553,184,2010-10-26,-500,105414834
37,366,2016-06-29,-10365,3532217
37,366,2017-06-06,-1365,3532252
379,111,2015-06-03,-90000,22018325
392,78,2016-10-04,-2000,22511243
402,37,2012-09-10,-2000,22725961
4398,1077,2021-09-03,-417806,109435238
4711,119,2017-12-07,-10000,122684156
4728,199,2009-05-21,-2144,123335921
4728,199,2009-05-22,-2144,123335922
4728,199,2009-05-25,-2144,123335923
4728,199,2009-05-26,-2144,123335924
4728,199,2009-05-27,-2144,123335925
4728,199,2009-05-29,-2144,123335926
4775,231,2010-01-19,-1000,127215586
4787,78,2008-10-31,-197120,128578700
5056,90,2009-03-05,-5000,148948585
54,312,2009-05-08,-56532,5924268
5462,131,2012-05-08,-2000,154387103
5462,131,2012-05-14,-2000,154387105
6067,428,2010-12-31,-30000,162119889
6067,95,2010-08-09,-20000,162111080
6215,39,2010-10-25,-2000,164441127
63,220,2012-04-19,-18000,6675225
63,28,2011-01-13,-3960,6518780
63,318,2016-06-29,-2000,6730158
7,412,2010-11-16,-1000,886728
7014,144,2011-09-08,-2000,172901024
7284,495,2022-09-30,-1,175771984
7284,83,2012-02-17,-16000,175711844
9244,236,2014-08-27,-1130000,177056600
975,38,2014-10-08,-18513,32341717
983,150,2010-09-20,-266068000,33238895
984,307,2016-06-14,-1490000,33345858
