source_system,source_issue_id,canonical_security_id,hk_stock_codes,security_name,valid_from,valid_to,mapping_status,mapping_evidence,mapping_row_count
webb_ccass,1,webb:issue:1,00004,WHARF HOLDINGS,2004-02-02,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,2,webb:issue:2,00071,MIRAMAR HOTEL,2004-02-02,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,3,webb:issue:3,00017;02909,NEW WORLD DEV,2004-02-02,2020-07-30,AMBIGUOUS,webbsite_full.sqlite/shortnames,5
webb_ccass,7,webb:issue:7,00020,WHEELOCK,2004-02-02,2020-07-27,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,9,webb:issue:9,00016;02949,SHK PPT,2004-02-02,2018-07-23,AMBIGUOUS,webbsite_full.sqlite/shortnames,4
webb_ccass,10,webb:issue:10,00097,HENDERSON INV,2004-02-02,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,14,webb:issue:14,00011,HANG SENG BANK,2004-02-02,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,15,webb:issue:15,00164;02953;02966;02968;02971,CHINA BAOLI TEC,2004-02-02,2023-07-26,AMBIGUOUS,webbsite_full.sqlite/shortnames,19
webb_ccass,16,webb:issue:16,00022,MEXAN,2004-02-02,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,17,webb:issue:17,00231;02958;02968,PING AN SEC GP,2004-02-02,2022-11-07,AMBIGUOUS,webbsite_full.sqlite/shortnames,11
webb_ccass,22,webb:issue:22,00044,HAECO,2004-02-02,2018-11-29,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,23,webb:issue:23,00293,CATHAY PAC AIR,2004-02-02,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,24,webb:issue:24,00019,SWIRE PACIFIC A,2004-02-02,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,25,webb:issue:25,00087,SWIRE PACIFIC B,2004-02-02,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,26,webb:issue:26,00014,HYSAN DEV,2004-02-02,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,27,webb:issue:27,00023,BANK OF E ASIA,2004-02-02,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,28,webb:issue:28,00045,HK&S HOTELS,2004-02-02,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,32,webb:issue:32,00583,GWPA HOLDINGS,2004-02-02,2017-01-16,EXACT,webbsite_full.sqlite/shortnames,3
webb_ccass,37,webb:issue:37,00041,GREAT EAGLE H,2004-02-02,,EXACT,webbsite_full.sqlite/shortnames,1
