source_system,source_participant_id,source_ccass_id,canonical_participant_id,participant_name,valid_from,valid_to,identity_status,mapping_evidence
webb_ccass,2,B01068,ccass:B01068,TEIL STOCK INVESTMENT CO (ADMINISTRATORS,2009-06-26,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,3,B01077,ccass:B01077,MACQUARIE CAPITAL SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,4,B01078,ccass:B01078,STANDARD CHARTERED SECURITIES,2009-12-17,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,5,B01080,ccass:B01080,VMS SECURITIES LTD,2011-04-14,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,6,B01086,ccass:B01086,EVERBRIGHT SECURITIES INVESTMENT,2022-02-11,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,7,B01089,ccass:B01089,HSBC BROKING SECURITIES (HONG KONG) LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,8,B01110,ccass:B01110,J.P. MORGAN BROKING (HONG KONG) LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,9,B01115,ccass:B01115,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,2015-06-01,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,10,B01118,ccass:B01118,EAST ASIA SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,11,B01119,ccass:B01119,CELESTIAL SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,12,B01121,ccass:B01121,SG SECURITIES (HK) LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,13,B01123,ccass:B01123,HING WONG SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,14,B01124,ccass:B01124,CHEKIANG FIRST SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,15,B01127,ccass:B01127,REORIENT FINANCIAL MARKETS LTD,2011-10-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,16,B01129,ccass:B01129,WOCOM SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,17,B01130,ccass:B01130,BOCI SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,18,B01133,ccass:B01133,RBC INVESTMENT SERVICES (ASIA) LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,19,B01137,ccass:B01137,CHOW SANG SANG SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,20,B01138,ccass:B01138,CLSA LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,21,B01141,ccass:B01141,FE SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,22,B01143,ccass:B01143,HAITONG INTERNATIONAL SECURITIES CO LTD,2010-12-01,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,23,B01144,ccass:B01144,TAK FUNG SHARES INVESTMENT CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,24,B01148,ccass:B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,25,B01150,ccass:B01150,MTF SECURITIES LTD,2020-12-30,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,26,B01152,ccass:B01152,YU ON SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,27,B01156,ccass:B01156,CMB INTERNATIONAL GLOBAL MARKETS LTD,2021-08-09,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,28,B01157,ccass:B01157,PASAY STOCK AND SHARES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,29,B01158,ccass:B01158,SOLID KING SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,30,B01161,ccass:B01161,UBS SECURITIES HONG KONG LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,31,B01166,ccass:B01166,KING FOOK SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,32,B01169,ccass:B01169,PUBLIC FINANCIAL SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,33,B01173,ccass:B01173,RIFA SECURITIES LTD,2016-07-29,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,34,B01175,ccass:B01175,F. R. ZIMMERN LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,35,B01181,ccass:B01181,FOSUN INTERNATIONAL SECURITIES LTD,2023-03-07,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
