category,archived_or_source_url,timestamp_or_note,evidence_type,remarks
ccass_notes,https://webb-database.com/ccass/CCASSnotes.asp,Current Webb-database mirror seen in search results,notes_page,"Explains CCASS coverage; says Webb captures, preserves and analyzes the data; mentions records begin 2007-06-26 and temporary counters from 2014-11-27"
ccass_holdings,https://webb-database.com/ccass/cholder.asp?d=2024-06-28&part=386&sort=codeup&z=False,Current Webb-database mirror seen in search results,results_page,"Shows holdings result page and sort parameters"
ccass_holdings_earliest,https://webb-database.com/ccass/cholder.asp?d=2010-03-04&part=92,Current Webb-database mirror seen in search results,results_page,"Demonstrates historical holdings page availability"
ccass_holdings_recent,https://webb-database.com/ccass/cholder.asp?d=2025-10-16&part=1324,Current Webb-database mirror seen in search results,results_page,"Demonstrates recent holdings page availability"
ccass_holdings_older,https://webb-database.com/ccass/cholder.asp?d=2022-06-21&part=171,Current Webb-database mirror seen in search results,results_page,"Demonstrates mid-history holdings page availability"
ccass_history,https://webb-database.com/ccass/chistory.asp?i=944&part=199,Current Webb-database mirror seen in search results,history_page,"Shows history controls and chart/table options"
ccass_bigchanges,https://webb-database.com/ccass/bigchanges.asp?d=2026-06-23,Current Webb-database mirror seen in search results,big_changes_page,"Daily big changes listing"
ccass_participants,https://webb-database.com/ccass/cparticipants.asp,Current Webb-database mirror seen in search results,participants_page,"Named CCASS participants directory"
orgdata_lookup,https://webb-database.com/dbpub/orgdata.asp?code=9660&Submit=current,Derived from current code path and search results,lookup_page,"Used to resolve stock code to issue ID via CCASS links"
sdiissue_ccass_tab,https://webb-database.com/dbpub/sdiissue.asp?i=35828,Current Webb-database mirror seen in search results,issue_page,"Issue page with CCASS tab and event link behavior"
archived_article_trouble2015,https://web.archive.org/web/20250522224245/https://webb-site.com/articles/trouble2015.asp,Wayback reference from article page,references,"Archived article reference mentioning CCASS / data history context"
archived_article_enigma,https://web.archive.org/web/20231203072841/https://webb-site.com/articles/enigma.asp,Wayback reference from article page,references,"Archived article reference"
repo_substack,https://webbrepo.substack.com/p/welcome-to-the-webb-site-repository,2025-10-21 post,repository_note,"States the repository includes data dumps, software for data collection, and VBScript ASP pages"
